Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-19 10:30:00-04:00,110.31500244140625,112.35990142822266,110.01000213623047,110.45999908447266,5830,0.0,0.0
2023-09-19 11:30:00-04:00,110.66999816894531,110.66999816894531,108.76000213623047,109.61499786376953,3361,0.0,0.0
2023-09-19 12:30:00-04:00,109.5250015258789,109.5250015258789,108.76000213623047,109.16000366210938,2415,0.0,0.0
2023-09-19 13:30:00-04:00,109.12000274658203,109.9800033569336,108.87000274658203,109.91500091552734,6632,0.0,0.0
2023-09-19 14:30:00-04:00,109.94999694824219,110.05000305175781,107.23999786376953,108.0,12845,0.0,0.0
2023-09-19 15:30:00-04:00,108.11000061035156,109.19000244140625,107.79000091552734,107.80999755859375,15679,0.0,0.0
2023-09-20 09:30:00-04:00,109.62000274658203,111.10540008544922,109.47000122070312,109.47000122070312,3319,0.0,0.0
2023-09-20 10:30:00-04:00,110.0,110.0,109.17440032958984,109.4000015258789,5363,0.0,0.0
2023-09-20 11:30:00-04:00,109.8949966430664,109.98999786376953,109.8219985961914,109.98999786376953,1670,0.0,0.0
2023-09-20 12:30:00-04:00,110.13999938964844,110.13999938964844,108.58999633789062,109.19999694824219,3406,0.0,0.0
2023-09-20 13:30:00-04:00,108.58000183105469,108.58000183105469,107.0,107.7750015258789,2942,0.0,0.0
2023-09-20 14:30:00-04:00,108.11000061035156,108.11000061035156,105.55000305175781,105.9749984741211,3995,0.0,0.0
2023-09-20 15:30:00-04:00,106.27999877929688,106.47000122070312,105.26000213623047,105.63999938964844,7896,0.0,0.0
2023-09-21 09:30:00-04:00,103.55999755859375,103.80000305175781,99.80030059814453,103.63030242919922,15676,0.0,0.0
2023-09-21 10:30:00-04:00,102.56999969482422,103.19000244140625,101.95999908447266,102.69000244140625,6828,0.0,0.0
2023-09-21 11:30:00-04:00,102.38999938964844,103.56999969482422,102.21009826660156,103.0999984741211,3766,0.0,0.0
2023-09-21 12:30:00-04:00,102.73500061035156,104.12000274658203,102.73500061035156,103.62000274658203,2778,0.0,0.0
2023-09-21 13:30:00-04:00,104.25499725341797,104.41999816894531,103.72000122070312,103.99500274658203,2512,0.0,0.0
2023-09-21 14:30:00-04:00,103.20999908447266,103.2300033569336,102.56999969482422,102.56999969482422,2860,0.0,0.0
2023-09-21 15:30:00-04:00,102.72000122070312,102.77999877929688,101.2699966430664,102.11000061035156,10583,0.0,0.0
2023-09-22 09:30:00-04:00,103.22000122070312,103.22000122070312,100.80000305175781,102.75,5356,0.0,0.0
