Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-21 00:00:00-04:00,5.320000171661377,5.829999923706055,5.320000171661377,5.599999904632568,10300,0.0,0.0
2019-06-24 00:00:00-04:00,5.650000095367432,5.650000095367432,5.327000141143799,5.440000057220459,9700,0.0,0.0
2019-06-25 00:00:00-04:00,5.565000057220459,6.039999961853027,5.420000076293945,6.0,29000,0.0,0.0
2019-06-26 00:00:00-04:00,5.909999847412109,5.949999809265137,5.639999866485596,5.809999942779541,9900,0.0,0.0
2019-06-27 00:00:00-04:00,5.920000076293945,6.21999979019165,5.920000076293945,6.0,15100,0.0,0.0
2019-06-28 00:00:00-04:00,6.139999866485596,6.769999980926514,5.989999771118164,6.679999828338623,25900,0.0,0.0
2019-07-01 00:00:00-04:00,6.659999847412109,6.659999847412109,6.199999809265137,6.199999809265137,10900,0.0,0.0
2019-07-02 00:00:00-04:00,5.980000019073486,6.5,5.769999980926514,6.380000114440918,10200,0.0,0.0
2019-07-03 00:00:00-04:00,5.940000057220459,6.440000057220459,5.300000190734863,6.349999904632568,33300,0.0,0.0
2019-07-05 00:00:00-04:00,6.130000114440918,6.3470001220703125,6.130000114440918,6.271999835968018,1800,0.0,0.0
2019-07-08 00:00:00-04:00,6.099999904632568,6.400000095367432,6.099999904632568,6.400000095367432,1400,0.0,0.0
2019-07-09 00:00:00-04:00,6.260000228881836,6.260000228881836,5.619999885559082,5.960000038146973,10600,0.0,0.0
2019-07-10 00:00:00-04:00,6.230000019073486,6.349999904632568,6.170000076293945,6.25,1800,0.0,0.0
2019-07-11 00:00:00-04:00,6.349999904632568,6.349999904632568,6.189000129699707,6.340000152587891,3800,0.0,0.0
2019-07-12 00:00:00-04:00,6.340000152587891,6.5,6.300000190734863,6.300000190734863,11600,0.0,0.0
2019-07-15 00:00:00-04:00,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,200,0.0,0.0
2019-07-16 00:00:00-04:00,6.489999771118164,6.489999771118164,6.050000190734863,6.46999979019165,1100,0.0,0.0
2019-07-17 00:00:00-04:00,6.361999988555908,6.480000019073486,6.361999988555908,6.460000038146973,700,0.0,0.0
2019-07-18 00:00:00-04:00,6.36899995803833,6.400000095367432,6.36899995803833,6.400000095367432,2100,0.0,0.0
2019-07-19 00:00:00-04:00,6.170000076293945,6.190999984741211,6.170000076293945,6.190999984741211,400,0.0,0.0
2019-07-22 00:00:00-04:00,6.2230000495910645,6.48799991607666,5.949999809265137,6.039999961853027,8000,0.0,0.0
2019-07-23 00:00:00-04:00,6.46999979019165,6.5,6.300000190734863,6.429999828338623,7400,0.0,0.0
2019-07-24 00:00:00-04:00,6.363999843597412,6.363999843597412,6.160999774932861,6.179999828338623,1400,0.0,0.0
2019-07-25 00:00:00-04:00,6.440000057220459,6.730000019073486,6.239999771118164,6.25,4800,0.0,0.0
2019-07-26 00:00:00-04:00,6.389999866485596,6.699999809265137,6.25,6.25,11300,0.0,0.0
2019-07-29 00:00:00-04:00,6.349999904632568,6.949999809265137,6.349999904632568,6.710000038146973,48400,0.0,0.0
2019-07-30 00:00:00-04:00,6.539999961853027,6.900000095367432,6.3470001220703125,6.869999885559082,10000,0.0,0.0
2019-07-31 00:00:00-04:00,6.880000114440918,6.900000095367432,6.659999847412109,6.659999847412109,24400,0.0,0.0
2019-08-01 00:00:00-04:00,7.460000038146973,8.456000328063965,7.400000095367432,7.559999942779541,133800,0.0,0.0
